Domain: josporn.club, Feature: rdap_domain_age, SHAP Value: 1193385038.88
Domain: yeeterracing.com, Feature: rdap_domain_age, SHAP Value: 867772253.20
Domain: games4.qqgametimes.com, Feature: tls_root_cert_lifetime, SHAP Value: 5951.00
Domain: torrentsnows.com, Feature: tls_root_cert_lifetime, SHAP Value: 5133.00
Domain: auth.merrillcorp.com, Feature: tls_root_cert_lifetime, SHAP Value: 5077.00
Domain: 2makestorage.com, Feature: tls_root_cert_lifetime, SHAP Value: 4924.00
Domain: airportus.info, Feature: tls_root_cert_lifetime, SHAP Value: 4289.00
Domain: backupaccount.com, Feature: tls_root_cert_lifetime, SHAP Value: 3243.00
Domain: one.exness.link, Feature: tls_root_cert_lifetime, SHAP Value: 1730.00
Domain: cooooos.com, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
Domain: dajak.vafrike.ru, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
Domain: api.wmkankan.com, Feature: tls_root_cert_lifetime, SHAP Value: 1277.00
Domain: awrcaverybrstuktdybstr.com, Feature: tls_root_cert_lifetime, SHAP Value: 1138.00
Domain: s.ktxtr.com, Feature: tls_root_cert_lifetime, SHAP Value: 1037.00
Domain: cba4a6e5d3c956548a337c52388473f1.com, Feature: rdap_ip_v4_count, SHAP Value: 9.00
Domain: ibaraki-84764.herokussl.com, Feature: tls_joint_isoitu_policy_crt_count, SHAP Value: 3.00
Domain: www.zhcsm.cn, Feature: tls_root_cert_lifetime, SHAP Value: nan
Domain: smaxdn.com, Feature: tls_root_cert_lifetime, SHAP Value: 7149.00
Domain: doogh.club, Feature: tls_root_cert_lifetime, SHAP Value: 7148.00
Domain: torrent-download.to, Feature: tls_root_cert_lifetime, SHAP Value: 5957.00
Domain: vid-play.com, Feature: tls_root_cert_lifetime, SHAP Value: 5078.00
Domain: chishir.com, Feature: tls_root_cert_lifetime, SHAP Value: 5075.00
Domain: audiotel.com.mx, Feature: tls_root_cert_lifetime, SHAP Value: 4937.00
Domain: r.blok.link, Feature: tls_root_cert_lifetime, SHAP Value: 3496.00
Domain: connect.dewvpn.cc, Feature: tls_root_cert_lifetime, SHAP Value: 3294.00
Domain: discordapp.page.link, Feature: tls_root_cert_lifetime, SHAP Value: 2766.00
Domain: tools1000.com, Feature: tls_root_cert_lifetime, SHAP Value: 1773.00
Domain: www.centrumprenatalnidiagnostiky.cz, Feature: tls_root_cert_lifetime, SHAP Value: 1711.00
Domain: vafrike.ru, Feature: tls_root_cert_lifetime, SHAP Value: 1690.00
Domain: speedtest.lovelivesupport.com, Feature: tls_root_cert_lifetime, SHAP Value: 1450.00
Domain: ailanibah.com, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
Domain: onbase.space, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
Domain: ucmetrixa.info, Feature: tls_root_cert_lifetime, SHAP Value: 1135.00
Domain: awecerybtuitbyatr.com, Feature: tls_root_cert_lifetime, SHAP Value: 1117.00
Domain: speed-app.com, Feature: tls_root_cert_lifetime, SHAP Value: 1038.00
Domain: rtbonecode.com, Feature: tls_root_cert_lifetime, SHAP Value: 994.00
Domain: images2.tcdn.com.br, Feature: tls_root_cert_lifetime, SHAP Value: 886.00
Domain: www.estrenospapaya.com, Feature: tls_root_cert_lifetime, SHAP Value: 778.00
Domain: imagodd.com, Feature: tls_root_cert_lifetime, SHAP Value: 695.00
Domain: baipiao-rss.com, Feature: rdap_ip_v4_count, SHAP Value: 16.00
Domain: value-wolf.org, Feature: rdap_ip_v4_count, SHAP Value: 10.00
Domain: iinmobi.com, Feature: rdap_ip_v4_count, SHAP Value: 10.00
Domain: urchintelemetry.com, Feature: rdap_ip_v4_count, SHAP Value: 8.00
Domain: biblehu.com, Feature: rdap_ip_v4_count, SHAP Value: 8.00
Domain: cdn.mypanel.link, Feature: rdap_ip_v4_count, SHAP Value: 8.00
Domain: cantliee.com, Feature: rdap_ip_v4_count, SHAP Value: 7.00
Domain: stun.zmzfile.com, Feature: rdap_ip_v4_count, SHAP Value: 6.00
Domain: www.manpower.gov.om, Feature: rdap_ip_v4_count, SHAP Value: 4.00
