Feature: tls_root_cert_lifetime, Mean SHAP Value: 1.48
Feature: rdap_ip_v4_count, Mean SHAP Value: 0.60
Feature: lex_tld_abuse_score, Mean SHAP Value: 0.58
Feature: rdap_domain_age, Mean SHAP Value: 0.53
Feature: rdap_domain_active_time, Mean SHAP Value: 0.51
Feature: dns_zone_entropy, Mean SHAP Value: 0.42
Feature: rdap_registrar_name_hash, Mean SHAP Value: 0.41
Feature: rdap_time_from_last_change, Mean SHAP Value: 0.35
Feature: tls_root_cert_validity_len, Mean SHAP Value: 0.28
Feature: dns_ttl_low, Mean SHAP Value: 0.27
Feature: ip_a_aaaa_to_all_ratio, Mean SHAP Value: 0.26
Feature: lex_avg_part_len, Mean SHAP Value: 0.23
Feature: lex_sub_count, Mean SHAP Value: 0.22
Feature: dns_ttl_stdev, Mean SHAP Value: 0.21
Feature: tls_leaf_cert_lifetime, Mean SHAP Value: 0.20
Feature: dns_zone_len, Mean SHAP Value: 0.20
Feature: tls_leaf_cert_validity_len, Mean SHAP Value: 0.18
Feature: dns_ttl_avg, Mean SHAP Value: 0.18
Feature: rdap_registrar_name_entropy, Mean SHAP Value: 0.18
Feature: ip_count, Mean SHAP Value: 0.17
Feature: rdap_registration_period, Mean SHAP Value: 0.17
Feature: lex_tld_hash, Mean SHAP Value: 0.17
Feature: lex_phishing_tetragram_matches, Mean SHAP Value: 0.16
Feature: geo_mean_lat, Mean SHAP Value: 0.16
Feature: rdap_registrar_name_len, Mean SHAP Value: 0.15
Feature: ip_as_address_entropy, Mean SHAP Value: 0.14
Feature: geo_countries_hash, Mean SHAP Value: 0.14
Feature: dns_resolved_record_types, Mean SHAP Value: 0.14
Feature: tls_total_extension_count, Mean SHAP Value: 0.14
Feature: lex_dga_bigram_matches, Mean SHAP Value: 0.13
Feature: geo_min_lon, Mean SHAP Value: 0.13
Feature: ip_mean_average_rtt, Mean SHAP Value: 0.13
Feature: lex_sub_non_alphanum_ratio, Mean SHAP Value: 0.12
Feature: rdap_ip_shortest_v4_prefix_len, Mean SHAP Value: 0.12
Feature: lex_sub_vowel_ratio, Mean SHAP Value: 0.11
Feature: lex_malware_tetragram_matches, Mean SHAP Value: 0.11
Feature: lex_tld_len, Mean SHAP Value: 0.11
Feature: lex_sld_vowel_ratio, Mean SHAP Value: 0.10
Feature: tls_joint_isoitu_policy_crt_count, Mean SHAP Value: 0.10
Feature: dns_soa_email_entropy, Mean SHAP Value: 0.10
Feature: lex_malware_trigram_matches, Mean SHAP Value: 0.10
Feature: lex_sub_norm_entropy, Mean SHAP Value: 0.10
Feature: lex_malware_bigram_matches, Mean SHAP Value: 0.09
Feature: lex_sub_hex_ratio, Mean SHAP Value: 0.09
Feature: tls_negotiated_version_id, Mean SHAP Value: 0.09
Feature: lex_longest_part_len, Mean SHAP Value: 0.09
Feature: lex_sld_hex_ratio, Mean SHAP Value: 0.09
Feature: tls_subject_count, Mean SHAP Value: 0.09
Feature: lex_sld_norm_entropy, Mean SHAP Value: 0.09
Feature: lex_stdev_part_lens, Mean SHAP Value: 0.09
Feature: tls_critical_extensions, Mean SHAP Value: 0.09
Feature: rdap_ip_avg_admin_email_len, Mean SHAP Value: 0.08
Feature: lex_phishing_bigram_matches, Mean SHAP Value: 0.08
Feature: geo_min_lat, Mean SHAP Value: 0.08
Feature: lex_sld_consonant_ratio, Mean SHAP Value: 0.08
Feature: geo_mean_lon, Mean SHAP Value: 0.08
Feature: dns_TXT_count, Mean SHAP Value: 0.08
Feature: lex_www_flag, Mean SHAP Value: 0.08
Feature: ip_distinct_as_count, Mean SHAP Value: 0.08
Feature: rdap_admin_email_entropy, Mean SHAP Value: 0.08
Feature: lex_sub_consonant_ratio, Mean SHAP Value: 0.08
Feature: lex_phishing_trigram_matches, Mean SHAP Value: 0.07
Feature: lex_consecutive_chars, Mean SHAP Value: 0.07
Feature: rdap_ip_avg_admin_name_len, Mean SHAP Value: 0.07
Feature: lex_sub_vowel_count, Mean SHAP Value: 0.06
Feature: dns_ttl_mid, Mean SHAP Value: 0.06
Feature: lex_phishing_keyword_count, Mean SHAP Value: 0.06
Feature: tls_iso_policy_crt_count, Mean SHAP Value: 0.06
Feature: lex_sub_digit_ratio, Mean SHAP Value: 0.06
Feature: lex_sld_consonant_count, Mean SHAP Value: 0.06
Feature: dns_soa_retry, Mean SHAP Value: 0.06
Feature: dns_txt_avg_len, Mean SHAP Value: 0.06
Feature: lex_sub_hex_count, Mean SHAP Value: 0.06
Feature: dns_mx_avg_entropy, Mean SHAP Value: 0.06
Feature: dns_NS_count, Mean SHAP Value: 0.05
Feature: rdap_registrant_name_len, Mean SHAP Value: 0.05
Feature: rdap_ip_avg_admin_email_entropy, Mean SHAP Value: 0.05
Feature: tls_negotiated_cipher_id, Mean SHAP Value: 0.05
Feature: lex_sub_digit_count, Mean SHAP Value: 0.05
Feature: rdap_ip_longest_v4_prefix_len, Mean SHAP Value: 0.05
Feature: lex_name_len, Mean SHAP Value: 0.05
Feature: lex_stld_unique_char_count, Mean SHAP Value: 0.05
Feature: dns_soa_primary_ns_entropy, Mean SHAP Value: 0.05
Feature: dns_dnssec_score, Mean SHAP Value: 0.05
Feature: dns_CNAME_count, Mean SHAP Value: 0.05
Feature: rdap_registrant_name_entropy, Mean SHAP Value: 0.05
Feature: rdap_ip_avg_admin_name_entropy, Mean SHAP Value: 0.05
Feature: lex_sub_max_consonant_len, Mean SHAP Value: 0.05
Feature: tls_percentage_crt_with_policies, Mean SHAP Value: 0.04
Feature: tls_chain_len, Mean SHAP Value: 0.04
Feature: lex_dga_trigram_matches, Mean SHAP Value: 0.04
Feature: dns_soa_min_ttl, Mean SHAP Value: 0.04
Feature: lex_sub_consonant_count, Mean SHAP Value: 0.04
Feature: tls_unique_SLD_count, Mean SHAP Value: 0.04
Feature: lex_sld_vowel_count, Mean SHAP Value: 0.04
Feature: ip_entropy, Mean SHAP Value: 0.04
Feature: rdap_ip_v6_count, Mean SHAP Value: 0.04
Feature: dns_has_dnskey, Mean SHAP Value: 0.04
Feature: dns_mx_avg_len, Mean SHAP Value: 0.03
Feature: dns_txt_avg_entropy, Mean SHAP Value: 0.03
Feature: lex_sld_len, Mean SHAP Value: 0.03
Feature: rdap_ip_shortest_v6_prefix_len, Mean SHAP Value: 0.03
Feature: tls_x509_anypolicy_crt_count, Mean SHAP Value: 0.03
Feature: lex_dga_tetragram_matches, Mean SHAP Value: 0.03
Feature: tls_CA_certs_in_chain_ratio, Mean SHAP Value: 0.03
Feature: dns_soa_primary_ns_digit_count, Mean SHAP Value: 0.03
Feature: dns_soa_primary_ns_len, Mean SHAP Value: 0.03
Feature: lex_shortest_sub_len, Mean SHAP Value: 0.03
Feature: tls_client_auth_crt_count, Mean SHAP Value: 0.02
Feature: lex_sld_non_alphanum_ratio, Mean SHAP Value: 0.02
Feature: lex_benign_keyword_count, Mean SHAP Value: 0.02
Feature: lex_medium_part_count, Mean SHAP Value: 0.02
Feature: lex_sld_phishing_keyword_count, Mean SHAP Value: 0.02
Feature: lex_sld_hex_count, Mean SHAP Value: 0.02
Feature: geo_lon_stdev, Mean SHAP Value: 0.02
Feature: lex_short_part_count, Mean SHAP Value: 0.02
Feature: dns_ttl_distinct_count, Mean SHAP Value: 0.02
Feature: lex_suffix_score, Mean SHAP Value: 0.02
Feature: dns_soa_email_len, Mean SHAP Value: 0.02
Feature: geo_lat_stdev, Mean SHAP Value: 0.02
Feature: dns_soa_refresh, Mean SHAP Value: 0.02
Feature: dns_soa_email_digit_count, Mean SHAP Value: 0.02
Feature: dns_soa_expire, Mean SHAP Value: 0.02
Feature: geo_continent_hash, Mean SHAP Value: 0.02
Feature: dns_A_count, Mean SHAP Value: 0.02
Feature: lex_sub_non_alphanum_count, Mean SHAP Value: 0.02
Feature: lex_has_digit, Mean SHAP Value: 0.02
Feature: tls_server_auth_crt_count, Mean SHAP Value: 0.02
Feature: ip_v4_ratio, Mean SHAP Value: 0.01
Feature: dns_SOA_count, Mean SHAP Value: 0.01
Feature: geo_continents_count, Mean SHAP Value: 0.01
Feature: lex_long_part_count, Mean SHAP Value: 0.01
Feature: dns_zone_digit_count, Mean SHAP Value: 0.01
Feature: lex_ipv4_in_domain, Mean SHAP Value: 0.01
Feature: tls_with_policies_crt_count, Mean SHAP Value: 0.01
Feature: dns_txt_spf_exists, Mean SHAP Value: 0.01
Feature: lex_begins_with_digit, Mean SHAP Value: 0.01
Feature: tls_common_name_count, Mean SHAP Value: 0.01
Feature: dns_zone_level, Mean SHAP Value: 0.01
Feature: geo_malic_host_country, Mean SHAP Value: 0.01
Feature: dns_AAAA_count, Mean SHAP Value: 0.00
Feature: dns_domain_name_in_mx, Mean SHAP Value: 0.00
Feature: dns_MX_count, Mean SHAP Value: 0.00
Feature: rdap_has_dnssec, Mean SHAP Value: 0.00
Feature: lex_sld_non_alphanum_count, Mean SHAP Value: 0.00
Feature: dns_soa_primary_ns_level, Mean SHAP Value: 0.00
Feature: rdap_ip_longest_v6_prefix_len, Mean SHAP Value: 0.00
Feature: ip_asn_entropy, Mean SHAP Value: 0.00
Feature: rdap_admin_name_entropy, Mean SHAP Value: 0.00
Feature: dns_soa_email_level, Mean SHAP Value: 0.00
Feature: dns_txt_external_verification_score, Mean SHAP Value: 0.00
Feature: geo_countries_count, Mean SHAP Value: 0.00
Feature: tls_has_tls, Mean SHAP Value: 0.00
Feature: lex_has_vps_suffix, Mean SHAP Value: 0.00
Feature: rdap_admin_email_len, Mean SHAP Value: 0.00
Feature: rdap_admin_name_len, Mean SHAP Value: 0.00
Feature: lex_has_img_suffix, Mean SHAP Value: 0.00
Feature: lex_has_trusted_suffix, Mean SHAP Value: 0.00
Feature: geo_estimated_area, Mean SHAP Value: 0.00
Feature: geo_centroid_lon, Mean SHAP Value: 0.00
Feature: dns_txt_dkim_exists, Mean SHAP Value: 0.00
Feature: dns_txt_dmarc_exists, Mean SHAP Value: 0.00
Feature: geo_centroid_lat, Mean SHAP Value: 0.00
Feature: geo_lon_range, Mean SHAP Value: 0.00
Feature: geo_lat_range, Mean SHAP Value: 0.00
Feature: geo_max_lon, Mean SHAP Value: 0.00
Feature: lex_superlong_part_count, Mean SHAP Value: 0.00
Feature: tls_broken_chain, Mean SHAP Value: 0.00
Feature: tls_expired_chain, Mean SHAP Value: 0.00
Feature: lex_has_cdn_suffix, Mean SHAP Value: 0.00
Feature: lex_has_wellknown_suffix, Mean SHAP Value: 0.00
Feature: geo_max_lat, Mean SHAP Value: 0.00
